epoch,open,high,low,close
1783298820,63647.94,63648.183,63588.065,63588.777
1783298880,63588.253,63746.352,63581.628,63707.959
1783298940,63708.292,63721.084,63659.628,63670.788
1783299000,63677.991,63710.039,63657.048,63708.735
1783299060,63708.689,63725.151,63680.581,63689.259
1783299120,63690.131,63690.131,63641.997,63646.684
1783299180,63645.758,63656.718,63633.378,63655.558
1783299240,63655.039,63655.662,63627.937,63627.937
1783299300,63614.512,63638.624,63594.216,63621.748
1783299360,63621.105,63662.429,63621.105,63649.902
1783299420,63649.903,63676.148,63649.902,63674.898
1783299480,63674.897,63700.851,63661.114,63699.772
1783299540,63699.766,63736.977,63699.766,63728.398
1783299600,63728.389,63732.202,63678.816,63701.108
1783299660,63701.107,63727.044,63658.418,63722.544
1783299720,63728.1,63755.387,63691.176,63733.899
1783299780,63726.687,63733.731,63700.047,63719.382
1783299840,63720.547,63727.871,63673.562,63695.991
1783299900,63695.971,63696.934,63682.367,63691.412
1783299960,63693.508,63708.055,63663.324,63707.776
1783300020,63708.022,63740.595,63684.751,63740.589
1783300080,63740.592,63835.687,63734.684,63815.631
1783300140,63818.182,63824.02,63769.118,63823.085
1783300200,63823.091,63823.091,63750.012,63750.016
1783300260,63750.004,63766.195,63742.728,63743.921
1783300320,63743.833,63769.116,63743.524,63769.116
1783300380,63769.103,63809.685,63750.938,63809.685
1783300440,63809.614,63820.353,63747.445,63788.364
1783300500,63788.009,63789.025,63735.027,63774.37
1783300560,63774.841,63805.642,63765.001,63802.359
1783300620,63802.375,63826.894,63770.4,63779.57
1783300680,63779.552,63785.008,63752.109,63776.508
1783300740,63775.26,63782.77,63764.906,63782.764
1783300800,63782.76,63806.87,63781.684,63791.562
1783300860,63791.561,63791.561,63763.333,63772.408
1783300920,63771.434,63771.434,63736.921,63739.728
1783300980,63739.732,63739.732,63703.037,63717.13
1783301040,63717.321,63717.321,63681.302,63686.199
1783301100,63679.864,63680.121,63627.756,63653.345
1783301160,63653.098,63673.672,63591.976,63605.673
1783301220,63602.941,63631.04,63580.716,63629.717
1783301280,63628.622,63667.963,63619.846,63667.695
